"g_arr_DB_fltVolumePerContainer";"g_arr_DB_strCarrierNamePerContainer";"g_arr_DB_strDescriptionVolumePerContainer";"g_arr_DB_strLabwareTypePerContainer";"g_arr_DB_strPositionIdPerContainer";"g_arr_DB_strReagentNamePerContainer";"g_arr_DB_strReagentTypePerContainer";"g_arr_DB_strReagentNameLabwareTypePerContainer"
"0";"PLT_CAR_2TIP_2PCR_MTP";"16";"";"1 and 2";"";"";"1000킠 Tips"
"0";"TIP_CAR_480BC_TIP_STF_YELLOW_0002";"108";"";"1 to 10";"";"";"300킠 Tips"
"0";"TIP_CAR_480BC_TIP_50F_PINK_0002";"46";"";"1 to 10";"";"";"50킠 Tips"
"0";"PLT_CAR_L4ST_0001";"2";"";"1 to 3";"";"";"MIDI Plate"
"0";"PLT_CAR_L4ST_0001";"1";"";"4";"";"";"HSP Plate"
"0";"MFX_CAR_ODTC_MTP_0001";"1";"";"ComfortLid Rest Position";"";"";"Comfortlid"
"0";"PLT_CAR_2TIP_2PCR_MTP";"1";"";"4_PCR96";"";"";"Sample Plate"
"3308";"RGT_CAR_1";"3.30mL";"50mL Trough";"1";"AMPure Beads";"Reagent";"AMPure Beads (50mL Trough)"
"10520";"RGT_CAR_1";"10.52mL";"50mL Trough";"2";"Ethanol 80%";"Reagent";"Ethanol 80% (50mL Trough)"
"3149.6";"RGT_CAR_1";"3.15mL";"50mL Trough";"3";"TE Buffer";"Reagent";"TE Buffer (50mL Trough)"
"62";"MFX_CAR_2HHSF30MTP_HHSF30DWP_CPAC_0001";"62.000킠";"vial 2mL Sarstedt";"A1";"Diluted Adapter - according user manual instructions";"Reagent";"Diluted Adapter - according user manual instructions (vial 2mL Sarstedt)"
"312.8";"MFX_CAR_2HHSF30MTP_HHSF30DWP_CPAC_0001";"312.800킠";"vial 2mL Sarstedt";"B1";"Ligation Mastermix";"Mastermix";"Ligation Mastermix (vial 2mL Sarstedt)"
"43.2";"MFX_CAR_2HHSF30MTP_HHSF30DWP_CPAC_0001";"43.200킠";"vial 2mL Sarstedt";"C1";"NEBNext Ultra II User Enzyme";"Reagent";"NEBNext Ultra II User Enzyme (vial 2mL Sarstedt)"
"7088";"RGT_CAR_1";"7.08mL";"50mL Trough";"4";"Nuclease-free water";"Reagent";"Nuclease-free water (50mL Trough)"
