"g_arr_DB_fltVolumePerContainer";"g_arr_DB_strCarrierNamePerContainer";"g_arr_DB_strDescriptionVolumePerContainer";"g_arr_DB_strLabwareTypePerContainer";"g_arr_DB_strPositionIdPerContainer";"g_arr_DB_strReagentNamePerContainer";"g_arr_DB_strReagentTypePerContainer";"g_arr_DB_strReagentNameLabwareTypePerContainer"
"0";"PLT_CAR_2TIP_2PCR_MTP";"48";"";"1 and 2";"";"";"1000킠 Tips"
"0";"TIP_CAR_480BC_TIP_STF_YELLOW_0002";"36";"";"1 to 10";"";"";"300킠 Tips"
"0";"TIP_CAR_480BC_TIP_50F_PINK_0002";"24";"";"1 to 10";"";"";"50킠 Tips"
"0";"PLT_CAR_L4ST_0001";"2";"";"1 to 3";"";"";"MIDI Plate"
"0";"PLT_CAR_L4ST_0001";"2";"";"4";"";"";"HSP Plate"
"0";"MFX_CAR_ODTC_MTP_0001";"1";"";"ComfortLid Rest Position";"";"";"Comfortlid"
"0";"PLT_CAR_2TIP_2PCR_MTP";"1";"";"4_PCR96";"";"";"Total RNA Input PCR plate - 11 ul"
"33.1";"MFX_CAR_2HHSF30MTP_HHSF30DWP_CPAC_0001";"33.100킠";"vial 2mL Sarstedt";"A1";"RNA Probe Hybridization MasterMix";"Mastermix";"RNA Probe Hybridization MasterMix (vial 2mL Sarstedt)"
"36.6";"MFX_CAR_2HHSF30MTP_HHSF30DWP_CPAC_0001";"36.600킠";"vial 2mL Sarstedt";"B1";"RNASE H Digestion MasterMix";"Mastermix";"RNASE H Digestion MasterMix (vial 2mL Sarstedt)"
"133.1";"MFX_CAR_2HHSF30MTP_HHSF30DWP_CPAC_0001";"133.100킠";"vial 2mL Sarstedt";"C1";"DNASE I Digestion MasterMix";"Mastermix";"DNASE I Digestion MasterMix (vial 2mL Sarstedt)"
"329.3";"MFX_CAR_2HHSF30MTP_HHSF30DWP_CPAC_0001";"329.300킠";"vial 2mL Sarstedt";"D1";"Agencourt RNAClean XP Beads or NEBNext RNA Sample Purification Beads (1.8X)";"Reagent";"Agencourt RNAClean XP Beads or NEBNext RNA Sample Purification Beads (1.8X) (vial 2mL Sarstedt)"
"71.8";"MFX_CAR_2HHSF30MTP_HHSF30DWP_CPAC_0001";"71.800킠";"vial 2mL Sarstedt";"A2";"Fragmentation and Priming Mix";"Mastermix";"Fragmentation and Priming Mix (vial 2mL Sarstedt)"
"63.5";"MFX_CAR_2HHSF30MTP_HHSF30DWP_CPAC_0001";"63.500킠";"vial 2mL Sarstedt";"A3";"First Strand Synthesis MasterMix";"Mastermix";"First Strand Synthesis MasterMix (vial 2mL Sarstedt)"
"233";"MFX_CAR_2HHSF30MTP_HHSF30DWP_CPAC_0001";"233.000킠";"vial 2mL Sarstedt";"A4";"Second Strand Synthesis Mastermix";"Mastermix";"Second Strand Synthesis Mastermix (vial 2mL Sarstedt)"
"3436.3";"RGT_CAR_1";"3.43mL";"50mL Trough";"1";"AMPure Beads";"Reagent";"AMPure Beads (50mL Trough)"
"12880";"RGT_CAR_1";"12.88mL";"50mL Trough";"2";"Ethanol 80%";"Reagent";"Ethanol 80% (50mL Trough)"
"4174.9";"RGT_CAR_1";"4.17mL";"50mL Trough";"3";"TE Buffer";"Reagent";"TE Buffer (50mL Trough)"
